id;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;calculated_host_listings_count;availability_365;city
8072314;41,8971;-87,67098;Entire home/apt;115;1;105;1;359;Chicago
8098937;41,76891;-87,61767;Private room;28;2;5;3;89;Chicago
8098969;41,76938;-87,61827;Private room;37;2;9;3;88;Chicago
8151461;41,86108;-87,70467;Entire home/apt;69;3;152;1;171;Chicago
8153968;41,96593;-87,68663;Private room;64;1;123;1;76;Chicago
8167169;41,88419;-87,7742;Private room;30;1;66;5;324;Chicago
8181598;41,90522;-87,69444;Private room;65;1;117;2;179;Chicago
8188570;41,93237;-87,69095;Entire home/apt;113;2;151;2;179;Chicago
8208108;41,91393;-87,69338;Private room;110;1;73;2;180;Chicago
8213703;41,9572;-87,67654;Entire home/apt;135;2;168;1;233;Chicago
8224594;41,9191;-87,681;Entire home/apt;90;1;279;1;137;Chicago
8228022;41,92164;-87,71608;Entire home/apt;135;14;121;2;326;Chicago
8229081;41,94293;-87,6505;Entire home/apt;299;3;95;1;168;Chicago
8241512;41,8925;-87,62384;Entire home/apt;389;3;24;3;270;Chicago
8255282;41,9859;-87,77188;Entire home/apt;110;2;121;1;269;Chicago
8272970;41,90184;-87,64516;Private room;100;1;90;2;365;Chicago
8273329;42,00666;-87,67224;Shared room;43;7;4;2;180;Chicago
8286958;41,93402;-87,71093;Entire home/apt;80;1;239;2;303;Chicago
8305524;41,94018;-87,6593;Entire home/apt;170;2;60;1;325;Chicago
8306409;41,88694;-87,7023;Private room;49;1;201;2;364;Chicago
8312137;41,90215;-87,68703;Entire home/apt;125;1;30;1;90;Chicago
8326393;41,89896;-87,6323;Entire home/apt;107;30;1;1;358;Chicago
8336595;41,88957;-87,67315;Private room;75;1;85;3;322;Chicago
8337703;41,94742;-87,64976;Private room;45;1;196;1;348;Chicago
8339990;41,95682;-87,66715;Private room;90;2;84;3;49;Chicago
8355466;41,9808;-87,66831;Entire home/apt;171;4;129;1;309;Chicago
8384692;41,89567;-87,62551;Entire home/apt;109;32;7;1;354;Chicago
8426694;41,89043;-87,65778;Entire home/apt;94;3;185;1;327;Chicago
8429764;41,80646;-87,61351;Private room;45;2;138;2;263;Chicago
8454437;41,80603;-87,61392;Private room;45;30;101;2;264;Chicago
8455435;41,91523;-87,68032;Entire home/apt;89;3;103;1;351;Chicago
8470408;41,89754;-87,62185;Entire home/apt;160;30;2;73;365;Chicago
8472766;41,96198;-87,73549;Entire home/apt;175;2;18;12;270;Chicago
8474113;41,90227;-87,66346;Entire home/apt;250;2;150;1;342;Chicago
8485642;41,93361;-87,64591;Entire home/apt;89;1;71;2;143;Chicago
8500157;41,89037;-87,67298;Private room;85;2;30;3;297;Chicago
8548067;41,94455;-87,6631;Entire home/apt;119;21;126;1;82;Chicago
8555593;41,95642;-87,72371;Private room;50;5;13;1;358;Chicago
8563504;41,92345;-87,771;Entire home/apt;190;1;8;1;325;Chicago
8564722;41,95679;-87,66731;Private room;90;2;89;3;48;Chicago
8583203;41,76358;-87,57244;Private room;30;2;80;4;90;Chicago
8608064;41,94021;-87,66328;Entire home/apt;108;3;244;1;337;Chicago
8614442;41,94943;-87,66129;Entire home/apt;249;2;18;6;320;Chicago
8615657;41,9329;-87,70387;Entire home/apt;86;2;25;1;204;Chicago
8617633;41,89329;-87,64912;Entire home/apt;198;2;73;1;310;Chicago
8633981;41,89629;-87,63135;Entire home/apt;60;60;2;73;365;Chicago
8635380;41,89822;-87,62191;Entire home/apt;100;3;4;73;365;Chicago
8652541;41,92115;-87,70464;Private room;50;1;50;3;296;Chicago
8669412;41,94291;-87,65086;Entire home/apt;559;2;13;4;364;Chicago
8702851;41,85671;-87,65477;Private room;83;1;112;1;365;Chicago
8706915;41,87186;-87,66469;Entire home/apt;98;2;491;1;279;Chicago
8718913;41,91783;-87,67588;Entire home/apt;301;2;127;1;143;Chicago
8735904;41,90008;-87,66214;Private room;78;1;48;1;361;Chicago
8743145;41,8937;-87,66757;Entire home/apt;115;3;192;4;321;Chicago
8743754;41,94534;-87,66094;Entire home/apt;295;2;36;1;78;Chicago
8770382;41,99449;-87,69215;Private room;49;2;136;2;352;Chicago
8780493;41,94031;-87,75783;Private room;59;2;14;16;364;Chicago
8799237;41,93279;-87,72877;Shared room;35;3;5;9;263;Chicago
8802052;41,89693;-87,68893;Private room;128;1;265;1;351;Chicago
8824905;41,78397;-87,59721;Private room;28;1;440;1;96;Chicago
8827052;41,87899;-87,66397;Entire home/apt;105;2;248;1;39;Chicago
8889577;41,93691;-87,63946;Private room;69;1;64;1;355;Chicago
8918966;41,97943;-87,79768;Entire home/apt;99;2;81;1;206;Chicago
8936446;41,82452;-87,6402;Private room;45;5;26;2;294;Chicago
8937824;41,95748;-87,69219;Entire home/apt;104;3;59;1;359;Chicago
8953380;41,94201;-87,64787;Private room;89;2;138;1;344;Chicago
8988738;41,80418;-87,7525;Private room;35;21;69;2;355;Chicago
9007351;41,85368;-87,67508;Private room;46;1;171;3;24;Chicago
9014565;41,90611;-87,66369;Entire home/apt;121;3;172;1;344;Chicago
9023960;41,89745;-87,67613;Entire home/apt;91;7;86;1;350;Chicago
9049864;41,90898;-87,67489;Entire home/apt;349;2;204;1;354;Chicago
9059696;41,85732;-87,66926;Entire home/apt;55;1;195;1;351;Chicago
9078918;41,94875;-87,65869;Entire home/apt;318;3;303;5;91;Chicago
9088488;41,90989;-87,78467;Entire home/apt;139;3;105;1;163;Chicago
9115645;41,91676;-87,70682;Entire home/apt;95;2;88;1;119;Chicago
9133070;41,90703;-87,68769;Private room;55;2;134;2;323;Chicago
9150564;41,91901;-87,6778;Private room;75;3;42;2;177;Chicago
9165281;41,93749;-87,64644;Entire home/apt;280;4;82;1;254;Chicago
9233356;41,87728;-87,7738;Private room;33;1;60;5;360;Chicago
9236259;41,88408;-87,7742;Private room;24;1;28;5;358;Chicago
9269658;41,91224;-87,70952;Shared room;64;1;27;1;363;Chicago
9313641;41,94224;-87,68492;Entire home/apt;77;3;122;1;19;Chicago
9319078;41,94875;-87,65869;Entire home/apt;413;7;212;5;192;Chicago
9342355;41,95077;-87,68218;Entire home/apt;104;2;66;1;300;Chicago
9384919;41,94278;-87,6627;Entire home/apt;299;3;27;6;347;Chicago
9384935;41,94786;-87,66014;Entire home/apt;179;1;11;6;347;Chicago
9403751;41,98977;-87,65706;Private room;46;2;65;1;170;Chicago
9406789;41,98317;-87,70461;Private room;60;3;87;1;194;Chicago
9434777;41,81272;-87,62219;Private room;80;2;53;1;89;Chicago
9452418;41,93671;-87,70876;Entire home/apt;143;10;138;1;351;Chicago
9487892;41,81639;-87,59749;Entire home/apt;304;3;36;3;180;Chicago
9505429;41,94629;-87,68011;Entire home/apt;179;3;2;3;1;Chicago
9543468;41,92382;-87,69749;Entire home/apt;189;2;4;2;364;Chicago
9570922;41,89692;-87,63242;Entire home/apt;155;60;4;10;365;Chicago
9576984;41,88675;-87,61681;Entire home/apt;120;60;1;10;365;Chicago
9587656;41,89627;-87,63148;Entire home/apt;155;31;2;27;365;Chicago
9589373;41,95008;-87,65829;Private room;126;1;163;1;363;Chicago
9590401;41,93875;-87,74055;Entire home/apt;60;2;105;2;143;Chicago
9610654;41,96977;-87,66799;Private room;282;2;6;12;344;Chicago
9637023;41,93864;-87,67163;Entire home/apt;114;3;7;1;88;Chicago
9645880;41,92455;-87,71107;Entire home/apt;99;3;72;1;355;Chicago
9660334;42,00451;-87,66203;Entire home/apt;135;7;67;1;73;Chicago
9679005;41,93287;-87,72969;Shared room;30;2;11;9;280;Chicago
9681972;41,89015;-87,62274;Entire home/apt;403;3;172;6;19;Chicago
9690523;41,88302;-87,7096;Private room;45;3;372;9;295;Chicago
9708726;41,80418;-87,7525;Private room;33;21;67;2;304;Chicago
9759854;41,93692;-87,77144;Private room;48;2;35;2;265;Chicago
9791551;41,89834;-87,68823;Entire home/apt;250;2;16;1;364;Chicago
9797971;41,88069;-87,68368;Entire home/apt;194;2;256;3;348;Chicago
9825135;41,85687;-87,6949;Entire home/apt;59;9;105;1;10;Chicago
9908933;41,79967;-87,6251;Entire home/apt;75;2;165;1;20;Chicago
9946053;41,85232;-87,62297;Entire home/apt;100;31;2;27;323;Chicago
9993846;41,89862;-87,62138;Entire home/apt;120;60;3;10;365;Chicago
9995220;41,88134;-87,68796;Private room;52;32;33;9;270;Chicago
9995828;41,88675;-87,61681;Entire home/apt;150;31;5;10;365;Chicago
10011290;41,89636;-87,63166;Entire home/apt;75;28;0;27;365;Chicago
10014344;41,94839;-87,70666;Entire home/apt;86;3;74;1;129;Chicago
10034077;41,88097;-87,68732;Private room;51;32;29;9;365;Chicago
10069247;41,88924;-87,63032;Private room;102;1;632;8;329;Chicago
10070422;41,78412;-87,60638;Private room;46;5;70;12;173;Chicago
10071396;41,78301;-87,60742;Private room;32;5;71;12;260;Chicago
10072035;41,78339;-87,60698;Private room;33;5;86;12;347;Chicago
10075221;41,92497;-87,69589;Entire home/apt;90;1;174;1;47;Chicago
10090801;41,97658;-87,65765;Entire home/apt;898;3;30;1;76;Chicago
10100747;41,88302;-87,7096;Private room;42;3;257;9;232;Chicago
10100835;41,78295;-87,60731;Private room;32;5;53;12;350;Chicago
10101026;41,78174;-87,60638;Private room;39;7;53;12;294;Chicago
10131101;41,96031;-87,72267;Entire home/apt;42;2;186;1;349;Chicago
10227627;41,78224;-87,59967;Entire home/apt;115;1;189;1;69;Chicago
10252775;41,91716;-87,6366;Entire home/apt;129;3;208;4;351;Chicago
10254486;41,99652;-87,6638;Entire home/apt;88;2;175;1;338;Chicago
